,match_date,match_map,match_mode,match_duration,match_result,champ_name,champ_kills,champ_deaths,champ_assists,champ_farm,champ_gold,champ_level,champ_first_spell,champ_second_spell
790,2020-01-18,Summoner's Rift,Normal (Draft Mode),29.55,defeat,Miss Fortune,4,8,4,145,9600,13,SummonerHeal,SummonerFlash
791,2020-01-18,Summoner's Rift,Normal (Draft Mode),27.96666666666666,victory,Xayah,6,5,15,158,12000,14,SummonerHeal,SummonerFlash
792,2020-01-18,Summoner's Rift,,23.46666666666666,defeat,Brand,3,14,13,96,15000,20,SummonerDot,SummonerFlash
793,2020-01-18,Summoner's Rift,,18.93333333333333,victory,Ezreal,8,8,5,83,13700,16,SummonerBarrier,SummonerFlash
794,2020-01-16,Summoner's Rift,,23.28333333333333,defeat,Thresh,17,18,13,53,19300,18,SummonerDot,SummonerFlash
795,2020-01-16,Summoner's Rift,,17.1,victory,Kai'Sa,12,8,12,55,15300,15,SummonerHeal,SummonerFlash
796,2020-01-16,Summoner's Rift,,17.116666666666667,victory,Morgana,16,2,15,65,14400,15,SummonerDot,SummonerFlash
797,2020-01-16,Summoner's Rift,,27.36666666666666,defeat,Lucian,16,18,14,146,23600,22,SummonerHeal,SummonerFlash
798,2020-01-16,Summoner's Rift,,17.28333333333333,defeat,Annie,4,10,2,59,10100,13,SummonerDot,SummonerFlash
799,2020-01-16,Summoner's Rift,,17.066666666666666,defeat,Darius,8,14,14,57,13800,15,SummonerHaste,SummonerFlash
800,2020-01-16,Summoner's Rift,,18.75,victory,Tristana,9,11,9,93,14800,17,SummonerHeal,SummonerFlash
801,2020-01-16,Summoner's Rift,,20.616666666666664,victory,Xayah,19,10,10,138,21700,19,SummonerHeal,SummonerFlash
802,2020-01-15,Summoner's Rift,,16.116666666666667,victory,Ashe,8,13,16,51,13400,16,SummonerHeal,SummonerFlash
803,2020-01-15,Summoner's Rift,,24.25,defeat,Fiddlesticks,17,10,17,112,19600,21,SummonerHeal,SummonerFlash
804,2020-01-15,Summoner's Rift,,24.48333333333333,defeat,Miss Fortune,11,16,18,113,21100,20,SummonerHeal,SummonerFlash
805,2020-01-15,Summoner's Rift,,28.216666666666658,victory,Morgana,20,10,17,111,23300,23,SummonerDot,SummonerFlash
806,2020-01-15,Summoner's Rift,,24.66666666666666,victory,Caitlyn,11,16,14,101,19000,21,SummonerDot,SummonerFlash
807,2020-01-15,Summoner's Rift,,21.18333333333333,victory,Irelia,6,7,6,123,14900,17,SummonerDot,SummonerFlash
808,2020-01-15,Summoner's Rift,,18.266666666666662,victory,Tristana,9,8,6,114,14400,15,SummonerDot,SummonerFlash
809,2020-01-11,Howling Abyss,,25.383333333333333,defeat,Singed,11,13,28,54,15400,18,SummonerHeal,SummonerFlash
810,2020-01-11,Howling Abyss,,19.91666666666666,defeat,Ezreal,5,6,12,76,11700,18,SummonerHeal,SummonerFlash
811,2020-01-11,Summoner's Rift,Normal (Draft Mode),22.16666666666666,defeat,Caitlyn,2,8,2,111,6700,12,SummonerDot,SummonerFlash
812,2020-01-11,Summoner's Rift,Normal (Draft Mode),21.93333333333333,victory,Rakan,1,3,15,10,7000,12,SummonerDot,SummonerFlash
813,2020-01-10,Summoner's Rift,Ranked (Draft Mode),36.85,defeat,Lucian,9,6,12,197,14200,15,SummonerHeal,SummonerFlash
814,2020-01-10,Summoner's Rift,Ranked (Draft Mode),28.3,victory,Aphelios,2,8,19,139,10100,14,SummonerHeal,SummonerFlash
815,2020-01-09,Summoner's Rift,Normal (Draft Mode),34.983333333333334,defeat,Irelia,11,8,7,212,15900,16,SummonerTeleport,SummonerFlash
816,2020-01-09,Summoner's Rift,Normal (Draft Mode),18.96666666666666,defeat,Ezreal,1,4,2,96,5000,9,SummonerHeal,SummonerFlash
